ticket;order;position_id;time;symbol;type;entry;volume;price;sl;tp;profit;swap;commission;magic;comment;reason
256866220;0;0;2026-08-29 14:18:13;;2;0;0.0;0.0;0;0;50000.0;0.0;0.0;0;demo;0
256867613;354704204;354704204;2026-08-29 15:08:50;BTCUSD;1;0;0.15;77578.36;0;0;0.0;0.0;0.0;88888;TT-MANU-L2;3
256867614;354704205;354704205;2026-08-29 15:08:51;BTCUSD;1;0;0.15;77578.36;0;0;0.0;0.0;0.0;88888;TT-MANU-L3;3
256867823;354704287;354704287;2026-08-29 15:18:18;BTCUSD;1;0;0.28;77641.5;0;0;0.0;0.0;0.0;88888;TT-MANU-L1;3
256926182;355037223;354704204;2026-08-30 19:15:26;BTCUSD;0;1;0.15;79200.0;0;0;-243.25;0.0;0.0;88888;[sl 79200.00];4
256926185;355037225;354704205;2026-08-30 19:15:26;BTCUSD;0;1;0.15;79200.0;0;0;-243.25;0.0;0.0;88888;[sl 79200.00];4
256926187;355037227;354704287;2026-08-30 19:15:26;BTCUSD;0;1;0.28;79200.0;0;0;-436.38;0.0;0.0;88888;[sl 79200.00];4
256930337;355054566;355054566;2026-08-30 20:02:54;BTCUSD;1;0;0.22;79215.16;0;0;0.0;0.0;0.0;88888;TT-GHPI-L1;3
256930338;355054567;355054567;2026-08-30 20:02:55;BTCUSD;1;0;0.22;79215.16;0;0;0.0;0.0;0.0;88888;TT-GHPI-L2;3
256931472;355060117;355054566;2026-08-30 20:19:19;BTCUSD;0;1;0.22;79000.0;0;0;47.34;0.0;0.0;88888;[tp 79000.00];5
256932266;355062667;355054567;2026-08-30 20:25:56;BTCUSD;0;1;0.22;78816.67;0;0;87.67;0.0;0.0;88888;;3
257488133;356096975;356096975;2026-08-31 12:29:32;XAUUSD.s;0;0;0.16;4439.88;0;0;0.0;0.0;0.0;88888;TT-GTMO-L1;3
257488135;356096978;356096978;2026-08-31 12:29:32;XAUUSD.s;0;0;0.16;4439.87;0;0;0.0;0.0;0.0;88888;TT-GTMO-L2;3
257488140;356096984;356096984;2026-08-31 12:29:33;XAUUSD.s;0;0;0.16;4439.87;0;0;0.0;0.0;0.0;88888;TT-GTMO-L3;3
257488886;356098183;356096975;2026-08-31 12:30:24;XAUUSD.s;1;1;0.16;4441.0;0;0;17.92;0.0;0.0;88888;[tp 4441.00];5
257490486;356101462;356096978;2026-08-31 12:34:12;XAUUSD.s;1;1;0.16;4443.0;0;0;50.08;0.0;0.0;88888;[tp 4443.00];5
257509255;356137291;356096984;2026-08-31 13:08:34;XAUUSD.s;1;1;0.08;4452.11;0;0;97.92;0.0;0.0;88888;;3
257563007;356245894;356245894;2026-08-31 14:49:18;XAUUSD.s;0;0;0.16;4454.22;0;0;0.0;0.0;0.0;88888;TT-GTMO-U1;3
257563008;356245896;356245896;2026-08-31 14:49:18;XAUUSD.s;0;0;0.16;4454.22;0;0;0.0;0.0;0.0;88888;TT-GTMO-U2;3
257563009;356245898;356245898;2026-08-31 14:49:18;XAUUSD.s;0;0;0.16;4454.22;0;0;0.0;0.0;0.0;88888;TT-GTMO-U3;3
257565861;356253393;356245894;2026-08-31 14:57:07;XAUUSD.s;1;1;0.16;4456.0;0;0;28.48;0.0;0.0;88888;[tp 4456.00];5
257573921;356269066;356245896;2026-08-31 15:09:07;XAUUSD.s;1;1;0.16;4454.32;0;0;1.6;0.0;0.0;88888;[sl 4454.32];4
257573922;356269068;356245898;2026-08-31 15:09:07;XAUUSD.s;1;1;0.16;4454.32;0;0;1.6;0.0;0.0;88888;[sl 4454.32];4
257605440;356321839;356096984;2026-08-31 15:40:39;XAUUSD.s;1;1;0.08;4439.97;0;0;0.8;0.0;0.0;88888;[sl 4439.97];4
257798729;356630363;356630363;2026-08-31 18:06:48;BTCUSD;1;0;0.2;78485.82;0;0;0.0;0.0;0.0;88888;TT-GHPI-L1;3
257798730;356630377;356630377;2026-08-31 18:06:48;BTCUSD;1;0;0.2;78487.76;0;0;0.0;0.0;0.0;88888;TT-GHPI-L2;3
257798731;356630394;356630394;2026-08-31 18:06:49;BTCUSD;1;0;0.2;78488.74;0;0;0.0;0.0;0.0;88888;TT-GHPI-L3;3
257814124;356656436;356630363;2026-08-31 18:18:46;BTCUSD;0;1;0.2;78250.0;0;0;47.16;0.0;0.0;88888;[tp 78250.00];5
257822084;356670502;356630394;2026-08-31 18:28:32;BTCUSD;0;1;0.2;78487.76;0;0;0.2;0.0;0.0;88888;[sl 78487.76];4
257906736;356811893;356811893;2026-08-31 20:19:32;BTCUSD;1;0;0.38;78589.58;0;0;0.0;0.0;0.0;88888;TT-GHPI-L1;3
257906744;356811913;356811913;2026-08-31 20:19:33;BTCUSD;1;0;0.38;78589.58;0;0;0.0;0.0;0.0;88888;TT-GHPI-L2;3
257966546;356926706;356630377;2026-08-31 22:09:17;BTCUSD;0;1;0.2;79240.0;0;0;-150.45;0.0;0.0;88888;[sl 79240.00];4
257966547;356926707;356811893;2026-08-31 22:09:17;BTCUSD;0;1;0.38;79240.0;0;0;-247.16;0.0;0.0;88888;[sl 79240.00];4
257966548;356926708;356811913;2026-08-31 22:09:17;BTCUSD;0;1;0.38;79240.0;0;0;-247.16;0.0;0.0;88888;[sl 79240.00];4
257968390;356930153;356930153;2026-08-31 22:12:52;USOUSD.s;1;0;0.11;86.106;0;0;0.0;0.0;0.0;88888;TT-MANU-L1;3
257968393;356930160;356930160;2026-08-31 22:12:52;USOUSD.s;1;0;0.11;86.106;0;0;0.0;0.0;0.0;88888;TT-MANU-L2;3
257968394;356930163;356930163;2026-08-31 22:12:52;USOUSD.s;1;0;0.11;86.106;0;0;0.0;0.0;0.0;88888;TT-MANU-L3;3
258241247;357535485;356930153;2026-09-01 07:41:51;USOUSD.s;0;1;0.11;87.43;0;0;-145.64;-4.48;0.0;88888;[sl 87.430];4
258241250;357535486;356930160;2026-09-01 07:41:51;USOUSD.s;0;1;0.11;87.43;0;0;-145.64;-4.48;0.0;88888;[sl 87.430];4
258241251;357535487;356930163;2026-09-01 07:41:51;USOUSD.s;0;1;0.11;87.43;0;0;-145.64;-4.48;0.0;88888;[sl 87.430];4
258260681;357582621;357582621;2026-09-01 08:27:21;USOUSD.s;1;0;0.06;87.238;0;0;0.0;0.0;0.0;88888;TT-GHPI-L1;3
258260683;357582626;357582626;2026-09-01 08:27:22;USOUSD.s;1;0;0.06;87.238;0;0;0.0;0.0;0.0;88888;TT-GHPI-L2;3
258260684;357582629;357582629;2026-09-01 08:27:22;USOUSD.s;1;0;0.06;87.238;0;0;0.0;0.0;0.0;88888;TT-GHPI-L3;3
258324335;357707562;357582621;2026-09-01 10:08:02;USOUSD.s;0;1;0.06;87.228;0;0;0.6;0.0;0.0;88888;[sl 87.228];4
258324336;357707563;357582626;2026-09-01 10:08:02;USOUSD.s;0;1;0.06;87.228;0;0;0.6;0.0;0.0;88888;[sl 87.228];4
258324337;357707564;357582629;2026-09-01 10:08:02;USOUSD.s;0;1;0.06;87.228;0;0;0.6;0.0;0.0;88888;[sl 87.228];4
258370263;357780885;357780885;2026-09-01 10:54:45;USOUSD.s;1;0;0.06;87.548;0;0;0.0;0.0;0.0;88888;TT-MANU-L1;3
258370267;357780889;357780889;2026-09-01 10:54:46;USOUSD.s;1;0;0.06;87.548;0;0;0.0;0.0;0.0;88888;TT-MANU-L2;3
258370270;357780890;357780890;2026-09-01 10:54:46;USOUSD.s;1;0;0.06;87.548;0;0;0.0;0.0;0.0;88888;TT-MANU-L3;3
258381337;357798578;357780890;2026-09-01 11:05:08;USOUSD.s;0;1;0.06;87.548;0;0;0.0;0.0;0.0;88888;[sl 87.548];4
258516055;357999561;357780885;2026-09-01 12:32:15;USOUSD.s;0;1;0.06;88.5;0;0;-57.12;0.0;0.0;88888;[sl 88.500];4
258516056;357999562;357780889;2026-09-01 12:32:15;USOUSD.s;0;1;0.06;88.5;0;0;-57.12;0.0;0.0;88888;[sl 88.500];4
258535041;358033885;358033885;2026-09-01 12:57:22;XAUUSD.s;1;0;0.08;4369.04;0;0;0.0;0.0;0.0;88888;TT-GTMO-U1;3
258535043;358033887;358033887;2026-09-01 12:57:22;XAUUSD.s;1;0;0.08;4369.03;0;0;0.0;0.0;0.0;88888;TT-GTMO-U2;3
258535044;358033889;358033889;2026-09-01 12:57:22;XAUUSD.s;1;0;0.08;4369.02;0;0;0.0;0.0;0.0;88888;TT-GTMO-U3;3
258536685;358036820;358033885;2026-09-01 12:59:25;XAUUSD.s;0;1;0.08;4367.0;0;0;16.32;0.0;0.0;88888;[tp 4367.00];5
258537623;358037990;358033887;2026-09-01 12:59:39;XAUUSD.s;0;1;0.08;4365.0;0;0;32.24;0.0;0.0;88888;[tp 4365.00];5
258539887;358041937;358033889;2026-09-01 13:01:30;XAUUSD.s;0;1;0.08;4369.02;0;0;0.0;0.0;0.0;88888;[sl 4369.02];4
258572177;358095980;358095980;2026-09-01 13:45:25;XAUUSD.s;1;0;0.08;4380.46;0;0;0.0;0.0;0.0;88888;TT-GTMO-U1;3
258572178;358095981;358095981;2026-09-01 13:45:25;XAUUSD.s;1;0;0.08;4380.4;0;0;0.0;0.0;0.0;88888;TT-GTMO-U2;3
258572180;358095983;358095983;2026-09-01 13:45:26;XAUUSD.s;1;0;0.08;4380.38;0;0;0.0;0.0;0.0;88888;TT-GTMO-U3;3
258575280;358100319;358095980;2026-09-01 13:47:48;XAUUSD.s;0;1;0.08;4378.0;0;0;19.68;0.0;0.0;88888;[tp 4378.00];5
258581397;358108887;358095981;2026-09-01 13:52:32;XAUUSD.s;0;1;0.08;4376.0;0;0;35.2;0.0;0.0;88888;[tp 4376.00];5
258588599;358121054;358095983;2026-09-01 14:03:58;XAUUSD.s;0;1;0.08;4380.38;0;0;0.0;0.0;0.0;88888;[sl 4380.38];4
258619703;358175724;358175724;2026-09-01 14:54:18;XAUUSD.s;1;0;0.08;4380.92;0;0;0.0;0.0;0.0;88888;TT-GTMO-U1;3
258619704;358175727;358175727;2026-09-01 14:54:18;XAUUSD.s;1;0;0.08;4380.92;0;0;0.0;0.0;0.0;88888;TT-GTMO-U2;3
258619707;358175732;358175732;2026-09-01 14:54:18;XAUUSD.s;1;0;0.08;4380.93;0;0;0.0;0.0;0.0;88888;TT-GTMO-U3;3
258620775;358177159;358175724;2026-09-01 14:55:03;XAUUSD.s;0;1;0.08;4378.92;0;0;16.0;0.0;0.0;88888;[tp 4378.92];5
258621903;358178643;358175727;2026-09-01 14:55:41;XAUUSD.s;0;1;0.08;4377.0;0;0;31.36;0.0;0.0;88888;[tp 4377.00];5
258626734;358185237;358175732;2026-09-01 14:59:17;XAUUSD.s;0;1;0.08;4374.32;0;0;52.88;0.0;0.0;88888;TeleTrader-Close;3
